sep=,
DeviceTag:,3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-09-17_16:36:35_000 GMT+8
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
110,3225554610,-0.050241,-0.774368,-0.001769,-0.630735,9.66152763366699,0.81206011772156,-1.97645175457001,-0.18186298012733,-0.35121414065361,0.13854551315308
111,3225571277,-0.050217,-0.774406,-0.001795,-0.630691,9.66437149047852,0.81074762344360,-2.00139212608337,0.06547886133194,-0.32165068387985,0.20830807089806
112,3225587944,-0.050274,-0.774417,-0.001755,-0.630673,9.77087402343750,0.81039363145828,-2.05890130996704,-0.63972836732864,-0.09296128153801,0.20656001567841
113,3225604611,-0.050375,-0.774414,-0.001677,-0.630669,9.64792823791504,0.75550240278244,-2.05017518997192,-0.74055278301239,0.05844177305698,0.16113589704037
114,3225621278,-0.050386,-0.774405,-0.001652,-0.630679,9.66251850128174,0.80249696969986,-2.05445981025696,-0.29663348197937,0.15448941290379,0.33477717638016
115,3225637945,-0.050402,-0.774376,-0.001611,-0.630713,9.69829177856445,0.82338994741440,-2.01214933395386,-0.56785917282104,0.35020881891251,0.43237435817719
116,3225654612,-0.050407,-0.774349,-0.001614,-0.630746,9.67231082916260,0.76525509357452,-1.98827135562897,-0.35333999991417,0.34324219822884,0.25898918509483
117,3225671279,-0.050374,-0.774333,-0.001624,-0.630769,9.70009422302246,0.76311969757080,-1.96891307830811,0.53344845771790,0.31109184026718,0.24625329673290
118,3225687946,-0.050293,-0.774319,-0.001705,-0.630793,9.67061901092529,0.80359166860580,-1.95792698860168,0.73548144102097,0.29364958405495,0.15632709860802
119,3225704613,-0.050207,-0.774302,-0.001779,-0.630819,9.68908596038818,0.81431311368942,-1.95026314258575,0.57130402326584,0.30394589900970,0.24197596311569
120,3225721280,-0.050191,-0.774290,-0.001770,-0.630836,9.68714427947998,0.82544946670532,-1.95592427253723,-0.01007219403982,0.21656817197800,0.35246914625168
121,3225737947,-0.050209,-0.774281,-0.001732,-0.630845,9.67249965667725,0.76108485460281,-1.95154345035553,-0.38687342405319,0.14626131951809,0.36591580510139
122,3225754614,-0.050243,-0.774273,-0.001677,-0.630853,9.68729782104492,0.77665209770203,-1.95429718494415,-0.64818692207336,0.12318429350853,0.41107103228569
123,3225771281,-0.050346,-0.774274,-0.001556,-0.630843,9.71966648101807,0.82022327184677,-1.96340537071228,-1.27785599231720,-0.03820134326816,0.45071309804916
124,3225787948,-0.050564,-0.774274,-0.001330,-0.630826,9.68451023101807,0.81199002265930,-1.98821473121643,-2.24298095703125,-0.09347355365753,0.48809483647346
125,3225804615,-0.050786,-0.774279,-0.001094,-0.630803,9.65042114257812,0.80978804826736,-1.95725560188293,-2.42699551582336,-0.16504824161530,0.54660701751709
126,3225821282,-0.051068,-0.774288,-0.000743,-0.630770,9.68495464324951,0.83961957693100,-1.97081065177917,-2.96077704429626,-0.25345051288605,0.83974444866180
127,3225837949,-0.051390,-0.774288,-0.000378,-0.630744,9.69431877136230,0.79385501146317,-1.94363653659821,-3.40422248840332,-0.19328624010086,0.77207565307617
128,3225854616,-0.051592,-0.774290,-0.000106,-0.630725,9.73573589324951,0.78222233057022,-2.02366065979004,-2.53291678428650,-0.14910435676575,0.84288203716278
129,3225871283,-0.051651,-0.774278,-0.000008,-0.630735,9.71402645111084,0.75664544105530,-2.04406237602234,-0.97496020793915,0.13344855606556,0.52890861034393
130,3225887950,-0.051583,-0.774256,-0.000040,-0.630767,9.64005661010742,0.82858216762543,-2.07193660736084,0.32445529103279,0.34520158171654,0.38967803120613
131,3225904617,-0.051474,-0.774218,-0.000104,-0.630823,9.71839046478271,0.84442257881165,-2.03085708618164,0.67967784404755,0.55502074956894,0.40055060386658
132,3225921284,-0.051351,-0.774173,-0.000146,-0.630888,9.68830108642578,0.80902975797653,-1.98470973968506,0.43011397123337,0.60146301984787,0.62971377372742
133,3225937951,-0.051222,-0.774137,-0.000185,-0.630943,9.66105175018311,0.75977861881256,-1.95214188098907,0.60461980104446,0.52524596452713,0.63641798496246
134,3225954618,-0.051044,-0.774106,-0.000278,-0.630996,9.67960929870605,0.80047160387039,-1.94544589519501,1.22854518890381,0.52329945564270,0.53444099426270
135,3225971285,-0.050925,-0.774077,-0.000330,-0.631040,9.71181964874268,0.79656970500946,-1.93050420284271,0.47838768362999,0.43095290660858,0.54530078172684
136,3225987952,-0.050830,-0.774047,-0.000366,-0.631085,9.72194862365723,0.72658228874207,-1.93710744380951,0.56869798898697,0.45711627602577,0.47268879413605
137,3226004619,-0.050663,-0.774026,-0.000469,-0.631124,9.72937774658203,0.74375689029694,-1.96111726760864,1.10327339172363,0.39846312999725,0.44954767823219
138,3226021286,-0.050546,-0.774004,-0.000526,-0.631160,9.70226192474365,0.78808480501175,-1.99340057373047,0.63417685031891,0.36987936496735,0.48111534118652
139,3226037953,-0.050475,-0.773979,-0.000522,-0.631196,9.66488838195801,0.79428994655609,-1.96000814437866,0.34418985247612,0.38268575072289,0.56255090236664
140,3226054620,-0.050393,-0.773975,-0.000517,-0.631208,9.65630245208740,0.77384471893311,-1.91915714740753,0.29566660523415,0.14996875822544,0.62491780519485
141,3226071287,-0.050293,-0.773975,-0.000550,-0.631216,9.71187019348145,0.76952838897705,-1.90058648586273,0.55932372808456,0.13285946846008,0.49810937047005
142,3226087954,-0.050227,-0.773980,-0.000548,-0.631215,9.72198772430420,0.75615686178207,-1.92533349990845,0.26358669996262,0.04202403873205,0.53212308883667
143,3226104621,-0.050178,-0.773998,-0.000547,-0.631197,9.67893695831299,0.73351585865021,-1.94839644432068,0.07254797220230,-0.10214984416962,0.46631762385368
144,3226121288,-0.050130,-0.774027,-0.000540,-0.631165,9.69199848175049,0.76887035369873,-1.96932101249695,0.17757284641266,-0.22543658316135,0.46750864386559
145,3226137955,-0.050093,-0.774049,-0.000543,-0.631141,9.69334220886230,0.78242766857147,-1.96064138412476,0.06610637158155,-0.15673050284386,0.37924721837044
146,3226154622,-0.050004,-0.774070,-0.000597,-0.631122,9.72742366790771,0.75385034084320,-1.95195174217224,0.49251943826675,-0.10967998951674,0.35873147845268
147,3226171289,-0.049895,-0.774100,-0.000659,-0.631095,9.70814418792725,0.79984599351883,-1.96235954761505,0.79519742727280,-0.17405749857426,0.35964071750641
148,3226187956,-0.049834,-0.774123,-0.000669,-0.631071,9.67170429229736,0.81125181913376,-1.99383556842804,0.12064860761166,-0.16098219156265,0.47252866625786
149,3226204623,-0.049786,-0.774152,-0.000675,-0.631039,9.61663913726807,0.78935122489929,-1.95603156089783,0.04492468014359,-0.23761542141438,0.43052390217781
150,3226221290,-0.049723,-0.774182,-0.000689,-0.631007,9.69242668151855,0.76153904199600,-1.95641422271729,0.19452844560146,-0.23036701977253,0.44637811183929
151,3226237957,-0.049694,-0.774214,-0.000694,-0.630970,9.71753120422363,0.74422305822372,-1.95588135719299,0.06437110900879,-0.25961032509804,0.33049985766411
152,3226254624,-0.049602,-0.774257,-0.000742,-0.630925,9.73096370697021,0.75307446718216,-1.96908867359161,0.58412957191467,-0.33947071433067,0.37524527311325
153,3226271291,-0.049540,-0.774300,-0.000776,-0.630877,9.66578388214111,0.77231770753860,-1.98807084560394,0.21571654081345,-0.37025719881058,0.34311413764954
154,3226287958,-0.049521,-0.774329,-0.000752,-0.630843,9.64124298095703,0.79450464248657,-2.01193499565125,0.03565927967429,-0.23306275904179,0.40571153163910
155,3226304625,-0.049518,-0.774352,-0.000730,-0.630815,9.70790481567383,0.78770971298218,-2.01688432693481,-0.33309313654900,-0.19177508354187,0.39705443382263
156,3226321292,-0.049523,-0.774377,-0.000691,-0.630784,9.68838500976562,0.77222830057144,-1.98337531089783,-0.24239861965179,-0.21035711467266,0.40171599388123
157,3226337959,-0.049431,-0.774397,-0.000747,-0.630766,9.64112567901611,0.78420174121857,-1.97378408908844,0.20481833815575,-0.12395265698433,0.41652008891106
158,3226354626,-0.049426,-0.774414,-0.000696,-0.630746,9.67081928253174,0.81412005424500,-1.99760568141937,-0.56783354282379,-0.15079478919506,0.58468037843704
159,3226371293,-0.049492,-0.774421,-0.000573,-0.630732,9.69698524475098,0.76753795146942,-2.01666641235352,-0.84201759099960,-0.06505625694990,0.56754547357559
160,3226387960,-0.049525,-0.774430,-0.000479,-0.630718,9.75230503082275,0.73631334304810,-2.01385331153870,-0.74299877882004,-0.07335476577282,0.60314702987671
161,3226404627,-0.049517,-0.774438,-0.000435,-0.630709,9.70238018035889,0.71514493227005,-1.96513628959656,-0.23694308102131,-0.02230866253376,0.50529372692108
162,3226421294,-0.049471,-0.774451,-0.000424,-0.630697,9.67087554931641,0.77521079778671,-1.94854640960693,0.14426994323730,-0.05289022251964,0.48402237892151
